2026-04-29 20:20:52,678 | WARNING  | test | warning message
2026-04-29 20:20:52,678 | ERROR    | test | error message
2026-04-29 20:20:53,467 | WARNING  | werkzeug |  * Debugger is active!
2026-04-29 20:20:53,472 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-04-29 20:20:54,494 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:20:54,495 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:20:54,495 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:20:54,495 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:20:54,495 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:20:54,495 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:20:54] "GET /api/logs/stream?session_id=sess_oyuzi2xky HTTP/1.1" 200 -
2026-04-29 20:24:31,912 | INFO     | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.5.175:5000
2026-04-29 20:24:31,912 | INFO     | werkzeug | [33mPress CTRL+C to quit[0m
2026-04-29 20:24:31,919 | INFO     | werkzeug |  * Restarting with watchdog (windowsapi)
2026-04-29 20:24:32,841 | WARNING  | werkzeug |  * Debugger is active!
2026-04-29 20:24:32,845 | INFO     | werkzeug |  * Debugger PIN: 108-400-749
2026-04-29 20:24:51,488 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:24:51] "GET / HTTP/1.1" 200 -
2026-04-29 20:24:51,669 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:24:51] "GET /api/logs?session_id=sess_fb7rn8d45&limit=100 HTTP/1.1" 200 -
2026-04-29 20:24:51,886 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:24:51] "[33mGET /@vite/client HTTP/1.1[0m" 404 -
2026-04-29 20:24:52,835 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:24:52] "GET /api/logs/stream?session_id=sess_fb7rn8d45 HTTP/1.1" 200 -
2026-04-29 20:24:58,493 | INFO     | web_app | 收到聊天请求
2026-04-29 20:24:58,494 | INFO     | web_app | 开始执行 ReAct 循环
2026-04-29 20:24:58,511 | INFO     | web_app | ReAct 循环完成
2026-04-29 20:24:58,513 | INFO     | werkzeug | 127.0.0.1 - - [29/Apr/2026 20:24:58] "POST /api/chat HTTP/1.1" 200 -
